Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint1,,,,24-03-2025 22:17:38,24-03-2025 22:22:02,4m - 23.968s,PASSED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C658-C667-C668,,"Verify that the Intro Page opens correctly
Verify that the Term and Conditions in Guest Mode is displayed correctly
Verify that the Privacy Policy in Guest Mode is displayed correctly",,24-03-2025 22:17:38,24-03-2025 22:22:02,4m - 23.749s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",,Launch the application on the physical device,,24-03-2025 22:17:39,24-03-2025 22:18:31,52.615s,PASSED
delay(3),,Wait for 3 seconds for the app to load,,24-03-2025 22:18:31,24-03-2025 22:18:34,3.046s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Verify the text ""You are Moments Away From Customized Vacation Experiences"" is present",,24-03-2025 22:18:34,24-03-2025 22:18:38,3.363s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:38,24-03-2025 22:18:41,3.014s,PASSED
"text = getText(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Get the text ""You are Moments Away From Customized Vacation Experiences"" and print it",,24-03-2025 22:18:41,24-03-2025 22:18:41,0.252s,PASSED
"println(""Text: "" + text)",,,,24-03-2025 22:18:41,24-03-2025 22:18:41,0.006s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:41,24-03-2025 22:18:44,3.023s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Verify the ""Login or Sign Up"" button is present",,24-03-2025 22:18:44,24-03-2025 22:18:44,0.191s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:44,24-03-2025 22:18:47,3.022s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify the bottom navigation bar ""Home"" is present",,24-03-2025 22:18:47,24-03-2025 22:18:47,0.201s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:47,24-03-2025 22:18:50,3.014s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify the bottom navigation bar ""My Account"" is present",,24-03-2025 22:18:50,24-03-2025 22:18:51,0.224s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:51,24-03-2025 22:18:54,3.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Vacation More. Get More""), 0)",,"Tap on the non-clickable text ""Vacation More. Get More""",,24-03-2025 22:18:54,24-03-2025 22:18:54,0.294s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:54,24-03-2025 22:18:57,3.006s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Repo/android.widget.TextView - Vacation More. Get More""), 0)",,"Verify that tapping on ""Vacation More. Get More"" does not redirect to the next page",,24-03-2025 22:18:57,24-03-2025 22:18:57,0.258s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:18:57,24-03-2025 22:19:00,3.016s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Repo/android.widget.TextView - Explore Westgate Loyalty""), 0)",,"Verify the text ""Explore Westgate Loyalty"" is visible",,24-03-2025 22:19:00,24-03-2025 22:19:00,0.215s,PASSED
delay(3),,Wait for 3 seconds,,24-03-2025 22:19:00,24-03-2025 22:19:03,3.017s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Tap on the clickable text ""Continue as a Guest""",,24-03-2025 22:19:03,24-03-2025 22:19:04,0.251s,PASSED
"isElementVisible = waitForElementPresent(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 10)",,"Wait for the ""Continue as a Guest"" element to be present after tapping",,24-03-2025 22:19:04,24-03-2025 22:19:04,0.265s,PASSED
if (!(isElementVisible)),,Check if the element is visible and log the result,,24-03-2025 22:19:04,24-03-2025 22:19:04,0.002s,PASSED
else,,,,24-03-2025 22:19:04,24-03-2025 22:19:04,0.010s,PASSED
delay(5),,Wait for 5 seconds,,24-03-2025 22:19:04,24-03-2025 22:19:09,5.015s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button,,24-03-2025 22:19:09,24-03-2025 22:19:09,0.390s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,24-03-2025 22:19:09,24-03-2025 22:19:39,30.017s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Terms and Conditions-Menu""), 0)",,"Tap on the ""Terms and Conditions"" option in the menu",,24-03-2025 22:19:39,24-03-2025 22:19:40,0.409s,PASSED
delay(30),,Wait for 30 seconds for the Terms and Conditions page to load,,24-03-2025 22:19:40,24-03-2025 22:20:10,30.007s,PASSED
"isElementPresent = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View-Terms and conditions web""), 10)",,Verify the Terms and Conditions webview is present,,24-03-2025 22:20:10,24-03-2025 22:20:10,0.598s,PASSED
"assert isElementPresent : ""Element 'android.view.View - Terms & Conditions-Webview' does not exist""",,Assert that the Terms and Conditions webview exists,,24-03-2025 22:20:10,24-03-2025 22:20:10,0.001s,PASSED
println(Element exists: $isElementPresent),,Print the result of the element verification,,24-03-2025 22:20:10,24-03-2025 22:20:10,0.030s,PASSED
delay(30),,Wait for 30 seconds,,24-03-2025 22:20:10,24-03-2025 22:20:40,30.021s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.ImageButton-Cancel web""), 0)",,Tap on the cancel button to close the webview,,24-03-2025 22:20:40,24-03-2025 22:20:41,0.407s,PASSED
delay(15),,Wait for 15 seconds,,24-03-2025 22:20:41,24-03-2025 22:20:56,15.004s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button again to open the menu fly-out,,24-03-2025 22:20:56,24-03-2025 22:20:57,0.826s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,24-03-2025 22:20:57,24-03-2025 22:21:27,30.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-Menu""), 0)",,"Tap on the ""Privacy Policy"" option in the menu",,24-03-2025 22:21:27,24-03-2025 22:21:27,0.440s,PASSED
delay(30),,Wait for 30 seconds for the Privacy Policy page to load,,24-03-2025 22:21:27,24-03-2025 22:21:57,30.014s,PASSED
"isPrivacyElementPresent = verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-web""), 0)",,Verify the Privacy Policy webview is present,,24-03-2025 22:21:57,24-03-2025 22:21:58,0.787s,PASSED
"assert isPrivacyElementPresent : ""Element 'android.widget.TextView - Privacy Policy-web' does not exist""",,Assert that the Privacy Policy webview exists,,24-03-2025 22:21:58,24-03-2025 22:21:58,0.001s,PASSED
println(Element exists: $isPrivacyElementPresent),,Print the result of the element verification,,24-03-2025 22:21:58,24-03-2025 22:21:58,0.001s,PASSED
closeApplication(),,Close the application successfully,,24-03-2025 22:21:58,24-03-2025 22:22:02,4.090s,PASSED
