Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint-2 Android,,,,25-03-2025 02:38:58,25-03-2025 03:08:13,29m - 14.918s,PASSED
,,,,,,,
Test Cases/Sprint 2/WRMA-224/C720,,Verify that the app version on the Settings in Login Mode is correct,,25-03-2025 02:38:59,25-03-2025 02:44:30,5m - 30.641s,PASSED
"testData = findTestData(""Data Files/C720 (1)"")",,Retrieve test data for login credentials and expected app version,,25-03-2025 02:39:01,25-03-2025 02:39:04,2.739s,PASSED
"email = testData.getValue(""email"", 1)",,"Extract email, password, and expected app version from test data",,25-03-2025 02:39:04,25-03-2025 02:39:04,0.283s,PASSED
"password = testData.getValue(""password"", 1)",,,,25-03-2025 02:39:04,25-03-2025 02:39:04,0.012s,PASSED
"expectedVersion = testData.getValue(""version"", 1)",,,,25-03-2025 02:39:04,25-03-2025 02:39:04,0.016s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",,Launch the mobile application,,25-03-2025 02:39:04,25-03-2025 02:40:30,1m - 25.740s,PASSED
delay(10),,Wait for 10 seconds to allow the app to load,,25-03-2025 02:40:30,25-03-2025 02:40:40,10.187s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,Tap on the Login or Sign Up button,,25-03-2025 02:40:40,25-03-2025 02:40:42,2.069s,PASSED
delay(10),,Wait for 10 seconds before proceeding,,25-03-2025 02:40:42,25-03-2025 02:40:52,10.023s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-LoginorSignUp""), email, 0)",,Enter email address in the login field,,25-03-2025 02:40:52,25-03-2025 02:40:53,0.938s,PASSED
hideKeyboard(),,Hide the keyboard after entering the email,,25-03-2025 02:40:53,25-03-2025 02:40:55,2.486s,PASSED
delay(10),,Wait for 10 seconds,,25-03-2025 02:40:55,25-03-2025 02:41:05,10.023s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next""), 0)",,Tap on the Next button to proceed to the password screen,,25-03-2025 02:41:05,25-03-2025 02:41:06,0.624s,PASSED
delay(30),,Wait for 30 seconds for the next screen to load,,25-03-2025 02:41:06,25-03-2025 02:41:36,30.022s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-OAM(Login)""), email, 0)",,Enter the email again in the OAM (Online Account Management) login field,,25-03-2025 02:41:36,25-03-2025 02:42:04,27.878s,PASSED
hideKeyboard(),,Hide the keyboard after entering the email,,25-03-2025 02:42:04,25-03-2025 02:42:07,3.289s,PASSED
delay(30),,Wait for 30 seconds,,25-03-2025 02:42:07,25-03-2025 02:42:37,30.022s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-OAM(Password)""), password, 0)",,Enter the password in the OAM password field,,25-03-2025 02:42:37,25-03-2025 02:42:38,0.676s,PASSED
hideKeyboard(),,Hide the keyboard after entering the password,,25-03-2025 02:42:38,25-03-2025 02:42:41,3.256s,PASSED
delay(30),,Wait for 30 seconds,,25-03-2025 02:42:41,25-03-2025 02:43:11,30.023s,PASSED
