Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint 2---Android,,,,25-03-2025 03:54:04,25-03-2025 04:19:28,25m - 23.358s,PASSED
,,,,,,,
Test Cases/Sprint 2/WRMA-258/C698-C696,,"Verify that the confirmation email is received after agreeing to the Terms and Conditions
Verify that outdated verification links cannot be used",,25-03-2025 03:54:05,25-03-2025 04:01:10,7m - 4.917s,PASSED
"testData = findTestData(""Data Files/C698-C696 (1)"")",,"Initializes testData by finding the test data file located at ""Data Files""",,25-03-2025 03:54:05,25-03-2025 03:54:06,0.545s,PASSED
"email = testData.getValue(""email"", 1)",,"Retrieves the value of the ""email"" field from the first row of the test data and assigns it to the variable email.",,25-03-2025 03:54:06,25-03-2025 03:54:06,0.041s,PASSED
"firstName = testData.getValue(""firstname"", 1)",,"Retrieves the value of the ""firstname"" field from the first row of the test data and assigns it to the variable firstName.",,25-03-2025 03:54:06,25-03-2025 03:54:06,0.002s,PASSED
"lastName = testData.getValue(""lastname"", 1)",,"Retrieves the value of the ""lastname"" field from the first row of the test data and assigns it to the variable lastName.",,25-03-2025 03:54:06,25-03-2025 03:54:06,0.002s,PASSED
"password = testData.getValue(""password"", 1)",,"Retrieves the value of the ""password"" field from the first row of the test data and assigns it to the variable password.",,25-03-2025 03:54:06,25-03-2025 03:54:06,0.003s,PASSED
"confirmPassword = testData.getValue(""confirmpassword"", 1)",,"Retrieves the value of the ""confirmpassword"" field from the first row of the test data and assigns it to the variable confirmPassword.",,25-03-2025 03:54:06,25-03-2025 03:54:06,0.003s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",," Launches the application located at ""C:UsersOiVigneshgdWKBK_AndroidApp Folder",,25-03-2025 03:54:06,25-03-2025 03:55:22,1m - 16.527s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:55:22,25-03-2025 03:55:32,10.042s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Simulates a tap on the ""Login or Sign Up"" button.",,25-03-2025 03:55:32,25-03-2025 03:55:33,0.777s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:55:33,25-03-2025 03:55:43,10.016s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-LoginorSignUp""), email, 0)",,Inputs the value of email into the login or sign-up field.,,25-03-2025 03:55:43,25-03-2025 03:55:44,0.550s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:55:44,25-03-2025 03:55:44,0.940s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:55:44,25-03-2025 03:55:54,10.006s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next""), 0)",,"Simulates a tap on the ""Next"" button.",,25-03-2025 03:55:54,25-03-2025 03:55:55,0.420s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:55:55,25-03-2025 03:56:05,10.019s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-confirm email address""), email, 0)",,Inputs the value of email into the confirm email address field.,,25-03-2025 03:56:05,25-03-2025 03:56:06,1.434s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:56:06,25-03-2025 03:56:07,0.672s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:56:07,25-03-2025 03:56:17,10.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next (1)""), 0)",,"Simulates a tap on the ""Next"" button.",,25-03-2025 03:56:17,25-03-2025 03:56:17,0.251s,PASSED
delay(20),,Pauses the execution for 20 seconds.,,25-03-2025 03:56:17,25-03-2025 03:56:37,20.010s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-FirstName""), firstName, 0)",,"Inputs the value of firstName into the first name field.

",,25-03-2025 03:56:37,25-03-2025 03:56:39,1.336s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:56:39,25-03-2025 03:56:39,0.629s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:56:39,25-03-2025 03:56:49,10.007s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-LastName""), lastName, 0)",,Inputs the value of lastName into the last name field.,,25-03-2025 03:56:49,25-03-2025 03:56:50,0.460s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:56:50,25-03-2025 03:56:50,0.757s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:56:50,25-03-2025 03:57:01,10.006s,PASSED
"sendKeys(findTestObject(""Object Repository/Repo/android.widget.EditText-Password""), password)",,Simulates key presses in the password field.,,25-03-2025 03:57:01,25-03-2025 03:57:01,0.412s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:57:01,25-03-2025 03:57:01,0.337s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:57:01,25-03-2025 03:57:11,10.016s,PASSED
"sendKeys(findTestObject(""Object Repository/Repo/android.widget.EditText-ConfirmPassword""), confirmPassword)",, Simulates key presses in the confirm password field.,,25-03-2025 03:57:11,25-03-2025 03:57:11,0.201s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:57:11,25-03-2025 03:57:12,0.316s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:57:12,25-03-2025 03:57:22,10.017s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next (2)""), 0)",,"Simulates a tap on the ""Next"" button.",,25-03-2025 03:57:22,25-03-2025 03:57:22,0.319s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:57:22,25-03-2025 03:57:32,10.018s,PASSED
"scrollToText(""etc)."")",,"Scroll down
",,25-03-2025 03:57:32,25-03-2025 03:57:35,3.061s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 03:57:35,25-03-2025 03:57:45,10.017s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Agree to Terms  Conditions""), 0)",,Tap on Agree to terms and conditions,,25-03-2025 03:57:45,25-03-2025 03:57:46,0.319s,PASSED
delay(30),,Pauses the execution for 30 seconds.,,25-03-2025 03:57:46,25-03-2025 03:58:16,30.016s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-OAM(Login)""), email, 0)",,Enter email in OAM webview,,25-03-2025 03:58:16,25-03-2025 03:58:49,32.944s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:58:49,25-03-2025 03:58:51,2.207s,PASSED
delay(30),,Pauses the execution for 30 seconds.,,25-03-2025 03:58:51,25-03-2025 03:59:21,30.016s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-OAM(Password)""), password, 0)",,Enter password in OAM webview,,25-03-2025 03:59:21,25-03-2025 03:59:23,2.141s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,25-03-2025 03:59:23,25-03-2025 03:59:25,2.338s,PASSED
delay(30),,Pauses the execution for 30 seconds.,,25-03-2025 03:59:25,25-03-2025 03:59:55,30.008s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - LOGIN""), 0)",,Tap on Login Button,,25-03-2025 03:59:55,25-03-2025 03:59:55,0.257s,PASSED
delay(30),,Pauses the execution for 30 seconds.,,25-03-2025 03:59:55,25-03-2025 04:00:25,30.009s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 04:00:25,25-03-2025 04:00:35,10.014s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Resend Confirmation Email""), 0)",,Verify element present,,25-03-2025 04:00:35,25-03-2025 04:00:36,0.250s,PASSED
"elementText = TextView - Resend Confirmation Email""), 0).trim()",,,,25-03-2025 04:00:36,25-03-2025 04:00:36,0.186s,PASSED
"println(""Text of the element: "" + elementText)",,,,25-03-2025 04:00:36,25-03-2025 04:00:36,0.006s,PASSED
"expectedText = ""Resend Confirmation Email"".trim()",,,,25-03-2025 04:00:36,25-03-2025 04:00:36,0.001s,PASSED
assert elementText.equals(expectedText),,,,25-03-2025 04:00:36,25-03-2025 04:00:36,0.011s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 04:00:36,25-03-2025 04:00:46,10.019s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Resend Confirmation Email""), 0)",,"Tap on resend confirmation mail button
",,25-03-2025 04:00:46,25-03-2025 04:00:46,0.168s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.Button - Next (3)""), 0)",,"Verify Nwxt button exists
",,25-03-2025 04:00:46,25-03-2025 04:00:47,0.566s,PASSED
delay(5),,Pauses the execution for 5 seconds.,,25-03-2025 04:00:47,25-03-2025 04:00:52,5.013s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next (3)""), 0)",,Tap on Next Button,,25-03-2025 04:00:52,25-03-2025 04:00:52,0.208s,PASSED
delay(5),,Pauses the execution for 5 seconds.,,25-03-2025 04:00:52,25-03-2025 04:00:57,5.003s,PASSED
"println(""All text assertions passed successfully!"")",,Print the assertion result,,25-03-2025 04:00:57,25-03-2025 04:00:57,0.000s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,25-03-2025 04:00:57,25-03-2025 04:01:07,10.017s,PASSED
closeApplication(),,Close the application,,25-03-2025 04:01:07,25-03-2025 04:01:10,2.659s,PASSED
,,,,,,,
Test Cases/Sprint 2/WRMA-266/C661,,Verify that the user is able to login successfully,,25-03-2025 04:01:10,25-03-2025 04:05:16,4m - 5.942s,PASSED
"testData = findTestData(""Data Files/C661"")",,"Loads the test data from the specified file (C661) in the ""Data Files"" folder. This file contains the test data (e.g., email and password) required for the test case.",,25-03-2025 04:01:10,25-03-2025 04:01:10,0.063s,PASSED
"email = testData.getValue(""email"", 1)",,"Retrieves the value of the email field from the first row of the test data file. This value is stored in the email variable for use in the test script.
",,25-03-2025 04:01:10,25-03-2025 04:01:10,0.002s,PASSED
"password = testData.getValue(""password"", 1)",,Retrieves the value of the password field from the first row of the test data file. This value is stored in the password variable for use in the test script.,,25-03-2025 04:01:10,25-03-2025 04:01:10,0.001s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",,Launches the mobile application using the specified APK file path. The application is installed (if not already installed) and started on the connected device or emulator,,25-03-2025 04:01:10,25-03-2025 04:02:23,1m - 12.836s,PASSED
delay(10),,Adds a delay of 10 seconds to allow the application to load completely before proceeding to the next step,,25-03-2025 04:02:23,25-03-2025 04:02:33,10.016s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Simulates a tap action on the ""Login or Sign Up"" button to navigate to the login screen.",,25-03-2025 04:02:33,25-03-2025 04:02:34,0.960s,PASSED
delay(10),,Adds a delay of 10 seconds to allow the login screen to load completely,,25-03-2025 04:02:34,25-03-2025 04:02:44,10.005s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-LoginorSignUp""), email, 0)",,Enters the email address (retrieved from the test data) into the email input field on the login screen.,,25-03-2025 04:02:44,25-03-2025 04:02:44,0.605s,PASSED
hideKeyboard(),,Hides the on-screen keyboard after entering the email address to avoid obstructing the view of other elements,,25-03-2025 04:02:44,25-03-2025 04:02:45,0.819s,PASSED
delay(10),,Adds a delay of 10 seconds to ensure the email input is processed and the screen is ready for the next action,,25-03-2025 04:02:45,25-03-2025 04:02:55,10.007s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next""), 0)",,"Simulates a tap action on the ""Next"" button to proceed to the OAM (Online Account Management) login page",,25-03-2025 04:02:55,25-03-2025 04:02:55,0.370s,PASSED
delay(30),,Adds a delay of 30 seconds to allow the OAM login page to load completely,,25-03-2025 04:02:55,25-03-2025 04:03:26,30.018s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-OAM(Login)""), email, 0)",,Enters the email address (retrieved from the test data) into the email input field on the OAM login page,,25-03-2025 04:03:26,25-03-2025 04:03:26,0.472s,PASSED
hideKeyboard(),,Hides the on-screen keyboard after entering the email address to avoid obstructing the view of other elements,,25-03-2025 04:03:26,25-03-2025 04:03:26,0.338s,PASSED
delay(30),,Adds a delay of 30 seconds to ensure the email input is processed and the screen is ready for the next action,,25-03-2025 04:03:26,25-03-2025 04:03:56,30.008s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-OAM(Password)""), password, 0)",,Enters the password (retrieved from the test data) into the password input field on the OAM login page,,25-03-2025 04:03:56,25-03-2025 04:03:58,1.686s,PASSED
hideKeyboard(),,Hides the on-screen keyboard after entering the password to avoid obstructing the view of other elements,,25-03-2025 04:03:58,25-03-2025 04:04:00,2.040s,PASSED
delay(30),,Adds a delay of 30 seconds to ensure the password input is processed and the screen is ready for the next action,,25-03-2025 04:04:00,25-03-2025 04:04:30,30.014s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button -OAM(Login)""), 0)",,"Simulates a tap action on the ""Login"" button to submit the credentials and log in to the application",,25-03-2025 04:04:30,25-03-2025 04:04:30,0.424s,PASSED
delay(20),,Adds a delay of 20 seconds to allow the application to process the login request and load the home screen.,,25-03-2025 04:04:30,25-03-2025 04:04:51,20.014s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Stay""), 0)",,"Verifies that the ""My Stay"" section is displayed on the screen after successful login.",,25-03-2025 04:04:51,25-03-2025 04:04:51,0.284s,PASSED
delay(5),,"Adds a delay of 5 seconds to ensure the ""My Stay"" section is fully loaded.",,25-03-2025 04:04:51,25-03-2025 04:04:56,5.005s,PASSED
