Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint--2 Android,,,,25-03-2025 05:01:13,25-03-2025 05:08:18,7m - 4.711s,PASSED
,,,,,,,
Test Cases/Sprint 2/WRMA-157/C666,,Verify that the Settings in Guest Mode is displayed correctly,,25-03-2025 05:01:13,25-03-2025 05:03:14,2m - 0.582s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", false)",,Launch the mobile application from the specified APK path,,25-03-2025 05:01:14,25-03-2025 05:02:31,1m - 16.818s,PASSED
delay(10),,Wait for 10 seconds to allow the app to load completely,,25-03-2025 05:02:31,25-03-2025 05:02:41,10.057s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Tap on the ""Continue as a Guest"" text view to enter guest mode",,25-03-2025 05:02:41,25-03-2025 05:02:42,0.898s,PASSED
delay(10),,Wait for 10 seconds for the guest mode to initialize,,25-03-2025 05:02:42,25-03-2025 05:02:52,10.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button to open the application menu,,25-03-2025 05:02:52,25-03-2025 05:02:52,0.410s,PASSED
delay(10),,Wait for 10 seconds for the menu to fully open,,25-03-2025 05:02:52,25-03-2025 05:03:02,10.024s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TabWidget (1)""), 0)",,"Tap on the tab widget (likely the ""About"" or ""Settings"" tab) to view version information",,25-03-2025 05:03:02,25-03-2025 05:03:02,0.511s,PASSED
delay(10),,Wait for 10 seconds for the version information to load,,25-03-2025 05:03:02,25-03-2025 05:03:13,10.018s,PASSED
"actualText = getText(findTestObject(""Object Repository/Repo/android.widget.Button - Version 2.81.111""), 0)",,Get the actual version text displayed in the app,,25-03-2025 05:03:13,25-03-2025 05:03:13,0.241s,PASSED
"println(""Actual Text: "" + actualText)",,Print the actual version text to console for verification,,25-03-2025 05:03:13,25-03-2025 05:03:13,0.008s,PASSED
"expectedText = ""Version 2.81.111""",,Define the expected version text that should be displayed,,25-03-2025 05:03:13,25-03-2025 05:03:13,0.002s,PASSED
"println(""Expected Text: "" + expectedText)",,Print the expected version text to console for reference,,25-03-2025 05:03:13,25-03-2025 05:03:13,0.002s,PASSED
assert actualText == expectedText,,"Assert that the actual version matches the expected version, with a descriptive error message if they differ",,25-03-2025 05:03:13,25-03-2025 05:03:13,0.001s,PASSED
"println(""Version verification successful!"")",,Print confirmation message if version verification is successful,,25-03-2025 05:03:13,25-03-2025 05:03:13,0.002s,PASSED
closeApplication(),,Close the mobile application,,25-03-2025 05:03:13,25-03-2025 05:03:14,1.251s,PASSED
,,,,,,,
Test Cases/Sprint 2/WRMA-157/C719,,Verify that the app version on the Settings menu in Guest Mode is correct,,25-03-2025 05:03:14,25-03-2025 05:04:38,1m - 24.104s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", false)",,Launch the Westgate mobile application from the specified APK file path,,25-03-2025 05:03:14,25-03-2025 05:03:35,20.697s,PASSED
delay(10),,Wait for 10 seconds to allow the application to fully initialize,,25-03-2025 05:03:35,25-03-2025 05:03:45,10.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Select the ""Continue as a Guest"" option to bypass login and use basic features",,25-03-2025 05:03:45,25-03-2025 05:03:46,0.661s,PASSED
