Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA Sprint1 and Sprint2 Android Report,,,,25-03-2025 05:35:42,25-03-2025 07:26:34,1h - 50m - 52.057s,PASSED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C658-C667-C668,,"Verify that the Intro Page opens correctly
Verify that the Term and Conditions in Guest Mode is displayed correctly
Verify that the Privacy Policy in Guest Mode is displayed correctly",,25-03-2025 05:35:42,25-03-2025 05:40:05,4m - 23.249s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",,Launch the application on the physical device,,25-03-2025 05:35:42,25-03-2025 05:36:32,49.502s,PASSED
delay(3),,Wait for 3 seconds for the app to load,,25-03-2025 05:36:32,25-03-2025 05:36:35,3.057s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Verify the text ""You are Moments Away From Customized Vacation Experiences"" is present",,25-03-2025 05:36:35,25-03-2025 05:36:38,3.232s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:38,25-03-2025 05:36:41,3.017s,PASSED
"text = getText(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Get the text ""You are Moments Away From Customized Vacation Experiences"" and print it",,25-03-2025 05:36:41,25-03-2025 05:36:41,0.304s,PASSED
"println(""Text: "" + text)",,,,25-03-2025 05:36:41,25-03-2025 05:36:41,0.009s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:41,25-03-2025 05:36:44,3.021s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Verify the ""Login or Sign Up"" button is present",,25-03-2025 05:36:44,25-03-2025 05:36:45,0.213s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:45,25-03-2025 05:36:48,3.012s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify the bottom navigation bar ""Home"" is present",,25-03-2025 05:36:48,25-03-2025 05:36:48,0.286s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:48,25-03-2025 05:36:51,3.023s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify the bottom navigation bar ""My Account"" is present",,25-03-2025 05:36:51,25-03-2025 05:36:51,0.287s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:51,25-03-2025 05:36:54,3.022s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Vacation More. Get More""), 0)",,"Tap on the non-clickable text ""Vacation More. Get More""",,25-03-2025 05:36:54,25-03-2025 05:36:55,0.347s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:55,25-03-2025 05:36:58,3.020s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Repo/android.widget.TextView - Vacation More. Get More""), 0)",,"Verify that tapping on ""Vacation More. Get More"" does not redirect to the next page",,25-03-2025 05:36:58,25-03-2025 05:36:59,1.692s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:36:59,25-03-2025 05:37:02,3.010s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Repo/android.widget.TextView - Explore Westgate Loyalty""), 0)",,"Verify the text ""Explore Westgate Loyalty"" is visible",,25-03-2025 05:37:02,25-03-2025 05:37:03,0.705s,PASSED
delay(3),,Wait for 3 seconds,,25-03-2025 05:37:03,25-03-2025 05:37:06,3.009s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Tap on the clickable text ""Continue as a Guest""",,25-03-2025 05:37:06,25-03-2025 05:37:06,0.322s,PASSED
"isElementVisible = waitForElementPresent(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 10)",,"Wait for the ""Continue as a Guest"" element to be present after tapping",,25-03-2025 05:37:06,25-03-2025 05:37:07,0.368s,PASSED
if (!(isElementVisible)),,Check if the element is visible and log the result,,25-03-2025 05:37:07,25-03-2025 05:37:07,0.000s,PASSED
else,,,,25-03-2025 05:37:07,25-03-2025 05:37:07,0.012s,PASSED
delay(5),,Wait for 5 seconds,,25-03-2025 05:37:07,25-03-2025 05:37:12,5.011s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button,,25-03-2025 05:37:12,25-03-2025 05:37:12,0.388s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,25-03-2025 05:37:12,25-03-2025 05:37:42,30.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Terms and Conditions-Menu""), 0)",,"Tap on the ""Terms and Conditions"" option in the menu",,25-03-2025 05:37:42,25-03-2025 05:37:44,1.442s,PASSED
delay(30),,Wait for 30 seconds for the Terms and Conditions page to load,,25-03-2025 05:37:44,25-03-2025 05:38:14,30.018s,PASSED
"isElementPresent = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View-Terms and conditions web""), 10)",,Verify the Terms and Conditions webview is present,,25-03-2025 05:38:14,25-03-2025 05:38:14,0.586s,PASSED
"assert isElementPresent : ""Element 'android.view.View - Terms & Conditions-Webview' does not exist""",,Assert that the Terms and Conditions webview exists,,25-03-2025 05:38:14,25-03-2025 05:38:14,0.002s,PASSED
println(Element exists: $isElementPresent),,Print the result of the element verification,,25-03-2025 05:38:14,25-03-2025 05:38:14,0.051s,PASSED
delay(30),,Wait for 30 seconds,,25-03-2025 05:38:14,25-03-2025 05:38:44,30.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.ImageButton-Cancel web""), 0)",,Tap on the cancel button to close the webview,,25-03-2025 05:38:44,25-03-2025 05:38:45,0.531s,PASSED
delay(15),,Wait for 15 seconds,,25-03-2025 05:38:45,25-03-2025 05:39:00,15.013s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button again to open the menu fly-out,,25-03-2025 05:39:00,25-03-2025 05:39:00,0.436s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,25-03-2025 05:39:00,25-03-2025 05:39:30,30.006s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-Menu""), 0)",,"Tap on the ""Privacy Policy"" option in the menu",,25-03-2025 05:39:30,25-03-2025 05:39:31,0.407s,PASSED
delay(30),,Wait for 30 seconds for the Privacy Policy page to load,,25-03-2025 05:39:31,25-03-2025 05:40:01,30.013s,PASSED
"isPrivacyElementPresent = verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-web""), 0)",,Verify the Privacy Policy webview is present,,25-03-2025 05:40:01,25-03-2025 05:40:01,0.457s,PASSED
"assert isPrivacyElementPresent : ""Element 'android.widget.TextView - Privacy Policy-web' does not exist""",,Assert that the Privacy Policy webview exists,,25-03-2025 05:40:01,25-03-2025 05:40:01,0.001s,PASSED
