Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Merged Sprint-1 and Sprint-2 Android,,,,26-03-2025 03:02:25,26-03-2025 04:01:30,59m - 4.643s,PASSED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C658-C667-C668,,"Verify that the Intro Page opens correctly
Verify that the Term and Conditions in Guest Mode is displayed correctly
Verify that the Privacy Policy in Guest Mode is displayed correctly",,26-03-2025 03:02:26,26-03-2025 03:06:51,4m - 25.101s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",,Launch the application on the physical device,,26-03-2025 03:02:26,26-03-2025 03:03:16,49.595s,PASSED
delay(3),,Wait for 3 seconds for the app to load,,26-03-2025 03:03:16,26-03-2025 03:03:19,3.041s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Verify the text ""You are Moments Away From Customized Vacation Experiences"" is present",,26-03-2025 03:03:19,26-03-2025 03:03:22,3.308s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:22,26-03-2025 03:03:25,3.021s,PASSED
"text = getText(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Get the text ""You are Moments Away From Customized Vacation Experiences"" and print it",,26-03-2025 03:03:25,26-03-2025 03:03:25,0.334s,PASSED
"println(""Text: "" + text)",,,,26-03-2025 03:03:25,26-03-2025 03:03:25,0.008s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:25,26-03-2025 03:03:28,3.013s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Verify the ""Login or Sign Up"" button is present",,26-03-2025 03:03:28,26-03-2025 03:03:29,0.350s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:29,26-03-2025 03:03:32,3.007s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify the bottom navigation bar ""Home"" is present",,26-03-2025 03:03:32,26-03-2025 03:03:33,1.111s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:33,26-03-2025 03:03:36,3.018s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify the bottom navigation bar ""My Account"" is present",,26-03-2025 03:03:36,26-03-2025 03:03:36,0.380s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:36,26-03-2025 03:03:39,3.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Vacation More. Get More""), 0)",,"Tap on the non-clickable text ""Vacation More. Get More""",,26-03-2025 03:03:39,26-03-2025 03:03:40,0.415s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:40,26-03-2025 03:03:43,3.015s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Repo/android.widget.TextView - Vacation More. Get More""), 0)",,"Verify that tapping on ""Vacation More. Get More"" does not redirect to the next page",,26-03-2025 03:03:43,26-03-2025 03:03:43,0.413s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:43,26-03-2025 03:03:46,3.025s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Repo/android.widget.TextView - Explore Westgate Loyalty""), 0)",,"Verify the text ""Explore Westgate Loyalty"" is visible",,26-03-2025 03:03:46,26-03-2025 03:03:47,0.513s,PASSED
delay(3),,Wait for 3 seconds,,26-03-2025 03:03:47,26-03-2025 03:03:50,3.022s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Tap on the clickable text ""Continue as a Guest""",,26-03-2025 03:03:50,26-03-2025 03:03:50,0.440s,PASSED
"isElementVisible = waitForElementPresent(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 10)",,"Wait for the ""Continue as a Guest"" element to be present after tapping",,26-03-2025 03:03:50,26-03-2025 03:03:50,0.278s,PASSED
if (!(isElementVisible)),,Check if the element is visible and log the result,,26-03-2025 03:03:50,26-03-2025 03:03:50,0.002s,PASSED
else,,,,26-03-2025 03:03:50,26-03-2025 03:03:50,0.014s,PASSED
delay(5),,Wait for 5 seconds,,26-03-2025 03:03:50,26-03-2025 03:03:55,5.009s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button,,26-03-2025 03:03:55,26-03-2025 03:03:57,1.241s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,26-03-2025 03:03:57,26-03-2025 03:04:27,30.018s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Terms and Conditions-Menu""), 0)",,"Tap on the ""Terms and Conditions"" option in the menu",,26-03-2025 03:04:27,26-03-2025 03:04:27,0.636s,PASSED
delay(30),,Wait for 30 seconds for the Terms and Conditions page to load,,26-03-2025 03:04:27,26-03-2025 03:04:57,30.025s,PASSED
"isElementPresent = verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View-Terms and conditions web""), 10)",,Verify the Terms and Conditions webview is present,,26-03-2025 03:04:57,26-03-2025 03:04:58,0.865s,PASSED
"assert isElementPresent : ""Element 'android.view.View - Terms & Conditions-Webview' does not exist""",,Assert that the Terms and Conditions webview exists,,26-03-2025 03:04:58,26-03-2025 03:04:58,0.005s,PASSED
println(Element exists: $isElementPresent),,Print the result of the element verification,,26-03-2025 03:04:58,26-03-2025 03:04:58,0.045s,PASSED
delay(30),,Wait for 30 seconds,,26-03-2025 03:04:58,26-03-2025 03:05:28,30.014s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.ImageButton-Cancel web""), 0)",,Tap on the cancel button to close the webview,,26-03-2025 03:05:28,26-03-2025 03:05:30,1.521s,PASSED
delay(15),,Wait for 15 seconds,,26-03-2025 03:05:30,26-03-2025 03:05:45,15.025s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button again to open the menu fly-out,,26-03-2025 03:05:45,26-03-2025 03:05:46,0.681s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,26-03-2025 03:05:46,26-03-2025 03:06:16,30.013s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-Menu""), 0)",,"Tap on the ""Privacy Policy"" option in the menu",,26-03-2025 03:06:16,26-03-2025 03:06:16,0.704s,PASSED
delay(30),,Wait for 30 seconds for the Privacy Policy page to load,,26-03-2025 03:06:16,26-03-2025 03:06:46,30.015s,PASSED
"isPrivacyElementPresent = verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-web""), 0)",,Verify the Privacy Policy webview is present,,26-03-2025 03:06:46,26-03-2025 03:06:47,0.409s,PASSED
"assert isPrivacyElementPresent : ""Element 'android.widget.TextView - Privacy Policy-web' does not exist""",,Assert that the Privacy Policy webview exists,,26-03-2025 03:06:47,26-03-2025 03:06:47,0.004s,PASSED
println(Element exists: $isPrivacyElementPresent),,Print the result of the element verification,,26-03-2025 03:06:47,26-03-2025 03:06:47,0.000s,PASSED
closeApplication(),,Close the application successfully,,26-03-2025 03:06:47,26-03-2025 03:06:51,4.114s,PASSED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C735-C736,,"Verify that the Term and Conditions in Logged state is displayed correctly
Verify that the Privacy Policy in Logged state is displayed correctly",,26-03-2025 03:06:51,26-03-2025 03:13:24,6m - 32.693s,PASSED
"loginData = findTestData(""Data Files/C735 (1)"")",,Read test data from Excel file,,26-03-2025 03:06:51,26-03-2025 03:06:52,0.565s,PASSED
"email = loginData.getValue(""email"", 1)",,,,26-03-2025 03:06:52,26-03-2025 03:06:52,0.029s,PASSED
"password = loginData.getValue(""password"", 1)",,,,26-03-2025 03:06:52,26-03-2025 03:06:52,0.001s,PASSED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\app-debug.apk"", true, STOP_ON_FAILURE)",,Launch the application on the device,,26-03-2025 03:06:52,26-03-2025 03:07:35,43.272s,PASSED
delay(5),,,,26-03-2025 03:07:35,26-03-2025 03:07:40,5.015s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0, STOP_ON_FAILURE)",,"Tap on the ""Login or Sign Up"" button",,26-03-2025 03:07:40,26-03-2025 03:07:43,2.964s,PASSED
delay(10),,,,26-03-2025 03:07:43,26-03-2025 03:07:53,10.021s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-LoginorSignUp""), email, 0, STOP_ON_FAILURE)",,Enter the email address in the login field,,26-03-2025 03:07:53,26-03-2025 03:07:54,0.737s,PASSED
hideKeyboard(),,,,26-03-2025 03:07:54,26-03-2025 03:07:55,1.519s,PASSED
