Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA regression Sprint-1 and Sprint-2 Android,,,,27-03-2025 14:13:59,27-03-2025 14:14:00,1.021s,ERROR
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C658-C667-C668,,"Verify that the Intro Page opens correctly
Verify that the Term and Conditions in Guest Mode is displayed correctly
Verify that the Privacy Policy in Guest Mode is displayed correctly",,27-03-2025 14:13:59,27-03-2025 14:13:59,0.016s,FAILED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/universal.apk"", true)",,Launch the application on the physical device,,27-03-2025 14:13:59,27-03-2025 14:13:59,0.003s,FAILED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C735-C736,,"Verify that the Term and Conditions in Logged state is displayed correctly
Verify that the Privacy Policy in Logged state is displayed correctly",,27-03-2025 14:13:59,27-03-2025 14:13:59,0.008s,ERROR
"loginData = findTestData(""Data Files/C735 (1)"")",,Read test data from Excel file,,27-03-2025 14:13:59,27-03-2025 14:13:59,0.002s,ERROR
,,,,,,,
Test Cases/Sprint 2/WRMA-119/C764,,Verify that the Login Now tile is redirected to the OAM website,,27-03-2025 14:13:59,27-03-2025 14:14:00,0.012s,FAILED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\app-debug.apk"", true)",,Launch the application,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.002s,FAILED
,,,,,,,
Test Cases/Sprint 2/WRMA-239/C666-C719-C738,,"C666-Verify that the Settings in Guest Mode is displayed correctly
C719-Verify that the app version on the Settings menu in Guest Mode is correct
C738-Verify that the bottom navbar is displayed correctly when the user is in Guest state",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.007s,FAILED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", false)",,Launch the Westgate mobile application,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.002s,FAILED
,,,,,,,
Test Cases/Sprint 2/WRMA-241/C660-C681,,"C660-Verify that the correct inline error message appears when incorrect email addresses are entered on the Login or Sign up page
C677-Verify that the correct inline error message appears when incorrect email addresses are entered on the New User page
C678-Verify that the correct inline error message appears when the email address with the domain ""@wgresorts.com"" is entered
C679-Verify that the correct inline error message appears when the confirmation email address doesn't match the original email address
C680-Verify that the system doesn't allow go to the next page users to proceed with existing email addresses in the system
C681-Verify that the system doesn't allow copy and paste the initially entered email address",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.016s,ERROR
emailValidationTests = new EmailValidationTests(),,,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.000s,PASSED
emailValidationTests.runAllTests(),,,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.000s,PASSED
testInvalidEmailFormat(),,,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.000s,PASSED
"excelData = findTestData(""Data Files/InvalidEmail"")",,"Retrieve test data from ""InvalidEmail"" Excel file",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.002s,ERROR
,,,,,,,
Test Cases/Sprint 2/WRMA-258/C698-C696,,"Verify that the confirmation email is received after agreeing to the Terms and Conditions
Verify that outdated verification links cannot be used",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.008s,ERROR
"testData = findTestData(""Data Files/C698-C696 (1)"")",,"Initializes testData by finding the test data file located at ""Data Files""",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.002s,ERROR
,,,,,,,
Test Cases/Sprint 2/WRMA-266/C661-C720-C721,,"C661-Verify that the user is able to login successfully
C720-Verify that the app version on the Settings in Login Mode is correct
C721-Verify that the current account email on the Settings in Login Mode is correct",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.010s,ERROR
"testData = findTestData(""Data Files/C661"")",,Retrieve test data for login credentials and expected app version,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.002s,ERROR
,,,,,,,
Test Cases/Sprint 2/WRMA-56/C699,,Verify that the Next button on the 'Not Verified Thank You' page is clickable,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.006s,ERROR
"testData = findTestData(""Data Files/C699"")",,"Retrieve test data from the ""C699"" data file",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.001s,ERROR
,,,,,,,
Test Cases/Sprint 2/WRMA-60/C728,,"Verify that the email address on the New User is displayed in the text ""You're creating...""",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.005s,FAILED
"startApplication(""C:\Users\GVVignesh\git\WGR_Android\App Folder\universal.apk"", true)",,Launch the mobile application with reset enabled (true clears any previous session data),,27-03-2025 14:14:00,27-03-2025 14:14:00,0.001s,FAILED
,,,,,,,
Test Cases/Sprint 2/WRMA-257/C682-C688,,"C682-Verify that an correct inline error message appears when numbers are entered in the First Name and Last Name fields
C683-Verify that the correct inline error message appears when typing the password less than 8 symbols
C684-Verify that the password field doesn't allow typing more than 20 symbols
C685-Verify that the correct inline error message appears when the Confirm password doesn't match the original password
C686-Verify that the First and Last name fields don't allow typing more than 50 symbols
C687-Verify that the Next button is activated only when all fields are filled
C688-Verify that the Next button remains inactive If any fields are left blank",,27-03-2025 14:14:00,27-03-2025 14:14:00,0.009s,ERROR
"testData = findTestData(""Data Files/C682-688"")",,Initialize test data from Excel file,,27-03-2025 14:14:00,27-03-2025 14:14:00,0.001s,ERROR
