Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA-Sprint-1_AndroidRegression,,,,27-03-2025 16:43:14,27-03-2025 16:43:14,0.510s,FAILED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C735-C736,,"Verify that the Term and Conditions in Logged state is displayed correctly
Verify that the Privacy Policy in Logged state is displayed correctly",,27-03-2025 16:43:14,27-03-2025 16:43:14,0.016s,FAILED
"loginData = findTestData(""Data Files/C735 (1)"")",,Read test data from Excel file,,27-03-2025 16:43:14,27-03-2025 16:43:14,0.006s,PASSED
"email = loginData.getValue(""email"", 1)",,,,27-03-2025 16:43:14,27-03-2025 16:43:14,0.000s,PASSED
"password = loginData.getValue(""password"", 1)",,,,27-03-2025 16:43:14,27-03-2025 16:43:14,0.001s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/universal.apk"", true, STOP_ON_FAILURE)",,Launch the application on the device,,27-03-2025 16:43:14,27-03-2025 16:43:14,0.002s,FAILED
,,,,,,,
Test Cases/Sprint 1/Internal Demo-Sprint1/C658-C667-C668,,"Verify that the Intro Page opens correctly
Verify that the Term and Conditions in Guest Mode is displayed correctly
Verify that the Privacy Policy in Guest Mode is displayed correctly",,27-03-2025 16:43:14,27-03-2025 16:43:14,0.008s,FAILED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/universal.apk"", true)",,Launch the application on the physical device,,27-03-2025 16:43:14,27-03-2025 16:43:14,0.002s,FAILED
