Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo,,,,31-03-2025 15:00:47,31-03-2025 15:04:39,3m - 52.551s,FAILED
,,,,,,,
Test Cases/Sign Up New UserPage/C699_SignUpNewUserPage - Copy,,Verify that the Next button on the 'Not Verified Thank You' page is clickable,,31-03-2025 15:03:45,31-03-2025 15:03:46,0.950s,FAILED
"testData = findTestData(""Data Files/LogiNewUser"")",,"Retrieve test data from the ""C699"" data file",,31-03-2025 15:03:45,31-03-2025 15:03:45,0.008s,PASSED
"email = testData.getValue(""email"", 1)",,"Extract email, first name, last name, password, and confirm password from the test data file",,31-03-2025 15:03:45,31-03-2025 15:03:45,0.001s,PASSED
"firstName = testData.getValue(""firstname"", 1)",,,,31-03-2025 15:03:45,31-03-2025 15:03:45,0.000s,PASSED
"lastName = testData.getValue(""lastname"", 1)",,,,31-03-2025 15:03:45,31-03-2025 15:03:45,0.000s,PASSED
"password = testData.getValue(""password"", 1)",,,,31-03-2025 15:03:45,31-03-2025 15:03:45,0.000s,PASSED
"confirmPassword = testData.getValue(""confirm password"", 1)",,,,31-03-2025 15:03:45,31-03-2025 15:03:45,0.000s,PASSED
"startApplication(appUrl, true)",,Launch the mobile application with reset enabled (clears previous session data),,31-03-2025 15:03:45,31-03-2025 15:03:46,0.931s,FAILED
,,,,,,,
Test Cases/Sign Up New UserPage/C698-C696_SignUpNewUserPage - Copy,,"Verify that the confirmation email is received after agreeing to the Terms and Conditions
Verify that outdated verification links cannot be used",,31-03-2025 15:03:48,31-03-2025 15:04:39,51.036s,FAILED
"testData = findTestData(""Data Files/LogiNewUser"")",,"Initializes testData by finding the test data file located at ""Data Files""",,31-03-2025 15:03:48,31-03-2025 15:03:48,0.005s,PASSED
"email = testData.getValue(""email"", 2)",,"Retrieves the value of the ""email"" field from the first row of the test data and assigns it to the variable email.",,31-03-2025 15:03:48,31-03-2025 15:03:48,0.000s,PASSED
"firstName = testData.getValue(""firstname"", 2)",,"Retrieves the value of the ""firstname"" field from the first row of the test data and assigns it to the variable firstName.",,31-03-2025 15:03:48,31-03-2025 15:03:48,0.000s,PASSED
"lastName = testData.getValue(""lastname"", 2)",,"Retrieves the value of the ""lastname"" field from the first row of the test data and assigns it to the variable lastName.",,31-03-2025 15:03:48,31-03-2025 15:03:48,0.000s,PASSED
"password = testData.getValue(""password"", 2)",,"Retrieves the value of the ""password"" field from the first row of the test data and assigns it to the variable password.",,31-03-2025 15:03:48,31-03-2025 15:03:48,0.000s,PASSED
"confirmPassword = testData.getValue(""confirm password"", 2)",,"Retrieves the value of the ""confirmpassword"" field from the first row of the test data and assigns it to the variable confirmPassword.",,31-03-2025 15:03:48,31-03-2025 15:03:48,0.000s,PASSED
"startApplication(appUrl, true)",, Launches the application ,,31-03-2025 15:03:48,31-03-2025 15:03:59,10.611s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,31-03-2025 15:03:59,31-03-2025 15:04:09,10.005s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Simulates a tap on the ""Login or Sign Up"" button.",,31-03-2025 15:04:09,31-03-2025 15:04:09,0.282s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,31-03-2025 15:04:09,31-03-2025 15:04:19,10.009s,PASSED
"setText(findTestObject(""Object Repository/Repo/android.widget.EditText-LoginorSignUp""), email, 0)",,Inputs the value of email into the login or sign-up field.,,31-03-2025 15:04:19,31-03-2025 15:04:19,0.186s,PASSED
hideKeyboard(),,Hides the on-screen keyboard.,,31-03-2025 15:04:19,31-03-2025 15:04:21,1.552s,PASSED
delay(10),,Pauses the execution for 10 seconds.,,31-03-2025 15:04:21,31-03-2025 15:04:31,10.025s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - Next""), 0)",,"Simulates a tap on the ""Next"" button.",,31-03-2025 15:04:31,31-03-2025 15:04:39,8.353s,FAILED
