Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA Android Regression-GuestMode,,,,01-04-2025 13:27:11,01-04-2025 13:43:39,16m - 28.018s,FAILED
,,,,,,,
Test Cases/Guest User Mode/C764-C793_GuestUserMode,,Verify that the Login Now tile is redirected to the OAM website,,01-04-2025 13:39:35,01-04-2025 13:43:39,4m - 4.568s,FAILED
"startApplication(""/Users/gv.vignesh/Downloads/WGR-Android-Automation/App Folder/app-debug.apk"", true)",,Launch the application,,01-04-2025 13:39:35,01-04-2025 13:40:47,1m - 12.028s,PASSED
delay(10),,,,01-04-2025 13:40:47,01-04-2025 13:40:57,10.008s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,Verify Home element exists,,01-04-2025 13:40:57,01-04-2025 13:40:58,1.869s,PASSED
delay(5),,,,01-04-2025 13:40:58,01-04-2025 13:41:03,5.008s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,Tap on Home,,01-04-2025 13:41:03,01-04-2025 13:41:04,0.834s,PASSED
delay(10),,,,01-04-2025 13:41:04,01-04-2025 13:41:14,10.008s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home (1)""), 0)",,Verify Home element exists after tapping,,01-04-2025 13:41:14,01-04-2025 13:41:15,0.968s,PASSED
delay(5),,,,01-04-2025 13:41:15,01-04-2025 13:41:20,5.008s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView-Slide""), 0)",,Verify Slide text is present,,01-04-2025 13:41:20,01-04-2025 13:41:21,0.650s,PASSED
startX = 1000,,Perform Swipe action,,01-04-2025 13:41:21,01-04-2025 13:41:21,0.000s,PASSED
startY = 2000,,,,01-04-2025 13:41:21,01-04-2025 13:41:21,0.000s,PASSED
endX = 200,,,,01-04-2025 13:41:21,01-04-2025 13:41:21,0.000s,PASSED
endY = 1000,,,,01-04-2025 13:41:21,01-04-2025 13:41:21,0.000s,PASSED
"swipe(startX, startY, endX, endY, CONTINUE_ON_FAILURE)",,,,01-04-2025 13:41:21,01-04-2025 13:41:27,5.843s,FAILED
delay(5),,,,01-04-2025 13:41:27,01-04-2025 13:41:32,5.007s,PASSED
"homeText = View - Home (1)""), 0).trim()",,Get and verify Home text,,01-04-2025 13:41:32,01-04-2025 13:41:33,0.769s,PASSED
"println(""Home Text: "" + homeText)",,,,01-04-2025 13:41:33,01-04-2025 13:41:33,0.001s,PASSED
"verifyEqual(homeText, ""Home"", STOP_ON_FAILURE)",,,,01-04-2025 13:41:33,01-04-2025 13:41:33,0.001s,PASSED
