Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WRMA Android Regression,,,,02-04-2025 11:35:16,02-04-2025 12:27:51,52m - 34.850s,FAILED
,,,,,,,
Test Cases/App Installation And Launching/C658-C667-C668_AppInstallationAndLaunching,,"Verify that the Intro Page opens correctly
Verify that the Term and Conditions in Guest Mode is displayed correctly
Verify that the Privacy Policy in Guest Mode is displayed correctly",,02-04-2025 11:35:16,02-04-2025 11:38:21,3m - 5.396s,PASSED
"startApplication(appUrl, true)",,Launch the application on the physical device,,02-04-2025 11:35:16,02-04-2025 11:36:01,44.859s,PASSED
delay(3),,Wait for 3 seconds for the app to load,,02-04-2025 11:36:01,02-04-2025 11:36:04,3.018s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Verify the text ""You are Moments Away From Customized Vacation Experiences"" is present",,02-04-2025 11:36:04,02-04-2025 11:36:07,3.519s,PASSED
delay(3),,Wait for 3 seconds,,02-04-2025 11:36:07,02-04-2025 11:36:10,3.012s,PASSED
"text = getText(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Get the text ""You are Moments Away From Customized Vacation Experiences"" and print it",,02-04-2025 11:36:10,02-04-2025 11:36:11,0.175s,PASSED
"println(""Text: "" + text)",,,,02-04-2025 11:36:11,02-04-2025 11:36:11,0.008s,PASSED
delay(3),,Wait for 3 seconds,,02-04-2025 11:36:11,02-04-2025 11:36:14,3.012s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Verify the ""Login or Sign Up"" button is present",,02-04-2025 11:36:14,02-04-2025 11:36:14,0.165s,PASSED
delay(3),,Wait for 3 seconds,,02-04-2025 11:36:14,02-04-2025 11:36:17,3.010s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify the bottom navigation bar ""Home"" is present",,02-04-2025 11:36:17,02-04-2025 11:36:17,0.153s,PASSED
delay(3),,Wait for 3 seconds,,02-04-2025 11:36:17,02-04-2025 11:36:20,3.011s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - My Account""), 0)",,"Verify the bottom navigation bar ""My Account"" is present",,02-04-2025 11:36:20,02-04-2025 11:36:20,0.142s,PASSED
