Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Android Regression,,,,24-04-2025 16:09:03,24-04-2025 17:06:53,57m - 49.981s,FAILED
,,,,,,,
Test Cases/App Installation And Launching/C657_C658_AppInstallationAndLaunching,,"C657-App Launch
C658-Verify that the Intro Page opens correctly",,24-04-2025 16:09:03,24-04-2025 16:09:46,42.656s,PASSED
"startApplication(appUrl, true)",,Launch the application on the physical device,,24-04-2025 16:09:03,24-04-2025 16:09:12,8.838s,PASSED
delay(10),,Wait for 3 seconds for the app to load,,24-04-2025 16:09:12,24-04-2025 16:09:22,10.025s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Verify the text ""You are Moments Away From Customized Vacation Experiences"" is present",,24-04-2025 16:09:22,24-04-2025 16:09:23,0.322s,PASSED
delay(3),,Wait for 3 seconds,,24-04-2025 16:09:23,24-04-2025 16:09:26,3.007s,PASSED
"text = getText(findTestObject(""Object Repository/Repo/android.widget.TextView - Youre Moments Away FromCustomized Vacation Experiences""), 0)",,"Get the text ""You are Moments Away From Customized Vacation Experiences"" and print it",,24-04-2025 16:09:26,24-04-2025 16:09:26,0.115s,PASSED
"println(""Text: "" + text)",,,,24-04-2025 16:09:26,24-04-2025 16:09:26,0.005s,PASSED
delay(3),,Wait for 3 seconds,,24-04-2025 16:09:26,24-04-2025 16:09:29,3.006s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Repo/android.widget.Button - Login or Sign Up""), 0)",,"Verify the ""Login or Sign Up"" button is present",,24-04-2025 16:09:29,24-04-2025 16:09:29,0.082s,PASSED
delay(3),,Wait for 3 seconds,,24-04-2025 16:09:29,24-04-2025 16:09:32,3.009s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Repo/android.view.View - Home""), 0)",,"Verify the bottom navigation bar ""Home"" is present",,24-04-2025 16:09:32,24-04-2025 16:09:32,0.079s,PASSED
delay(3),,Wait for 3 seconds,,24-04-2025 16:09:32,24-04-2025 16:09:35,3.007s,PASSED
