Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sprint-4,,,,25-04-2025 12:40:06,25-04-2025 12:45:56,5m - 49.665s,PASSED
,,,,,,,
Test Cases/Home Page/C753_LoggeOutState_Verification,,C753-Verify that the mandatory sections of the Home Page are displayed correctly in the logged-out state,,25-04-2025 12:40:06,25-04-2025 12:41:26,1m - 19.566s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/app-debug (2.99.69).apk"", true)",,Launch the mobile application from the specified APK file path and clear any previous data,,25-04-2025 12:40:06,25-04-2025 12:40:27,20.685s,PASSED
delay(10),,Wait for 10 seconds to allow the app to load completely,,25-04-2025 12:40:27,25-04-2025 12:40:37,10.020s,PASSED
"tap(findTestObject(""Object Repository/Carousel/android.widget.TextView - Home""), 0)",,Tap on the Home text view element in the application,,25-04-2025 12:40:37,25-04-2025 12:40:38,0.732s,PASSED
delay(15),,Wait for 15 seconds to allow the home screen to load,,25-04-2025 12:40:38,25-04-2025 12:40:53,15.011s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView""), 0)",,Verify that a text view element exists on the screen,,25-04-2025 12:40:53,25-04-2025 12:40:53,0.348s,PASSED
"swipe(800, 500, 100, 500)",,Perform a horizontal swipe gesture from right to left,,25-04-2025 12:40:53,25-04-2025 12:40:54,1.231s,PASSED
delay(10),,Wait for 10 seconds after swipe action,,25-04-2025 12:40:54,25-04-2025 12:41:04,10.013s,PASSED
"scrollToText(""recommended"")",,Scroll down to find text containing recommended,,25-04-2025 12:41:04,25-04-2025 12:41:10,5.245s,PASSED
delay(10),,Wait for 10 seconds after scrolling,,25-04-2025 12:41:10,25-04-2025 12:41:20,10.011s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView - Login Now""), 0)",,Verify the Login Now text element exists on screen,,25-04-2025 12:41:20,25-04-2025 12:41:20,0.599s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView - Book a Rental""), 0)",,Verify the Book a Rental text element exists on screen,,25-04-2025 12:41:20,25-04-2025 12:41:21,0.514s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView - RECOMMENDED FOR YOU""), 0)",,Verify the RECOMMENDED FOR YOU text element exists on screen,,25-04-2025 12:41:21,25-04-2025 12:41:21,0.485s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView - Home""), 0)",,Verify the Home text element exists on screen,,25-04-2025 12:41:21,25-04-2025 12:41:22,0.465s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView - My Account""), 0)",,Verify the My Account text element exists on screen,,25-04-2025 12:41:22,25-04-2025 12:41:23,1.118s,PASSED
closeApplication(),,Close the application,,25-04-2025 12:41:23,25-04-2025 12:41:26,3.022s,PASSED
,,,,,,,
Test Cases/Home Page/C765_WRMA-342_Homepage_Verification_logged in,,C765-Verify that the mandatory sections of the Home Page are displayed correctly in the logged-in state,,25-04-2025 12:41:26,25-04-2025 12:44:56,3m - 29.902s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/app-debug (2.99.69).apk"", true)",,Launch the application from specified APK path with data clearing,,25-04-2025 12:41:26,25-04-2025 12:41:44,18.203s,PASSED
delay(10),,Wait 10 seconds for app initialization,,25-04-2025 12:41:44,25-04-2025 12:41:54,10.011s,PASSED
"tap(findTestObject(""Object Repository/Repo/MyStay/android.widget.Button - Login or Sign Up (1)""), 0)",,Tap on Login or Sign Up button,,25-04-2025 12:41:54,25-04-2025 12:41:55,1.031s,PASSED
delay(10),,Wait 10 seconds for login screen to load,,25-04-2025 12:41:55,25-04-2025 12:42:05,10.009s,PASSED
