Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WOW Loyalty Program,,,,05-05-2025 16:54:44,05-05-2025 17:26:44,31m - 59.972s,FAILED
,,,,,,,
Test Cases/Loyalty QR Code/C828_C846_SilverTierVerification,,"C828-Verify that the WOW Loyalty Program banner is displayed under Top Nav Bar when the Loyalty program is enrolled
C846-Verify that the Silver Loyalty tier shows correctly color and text
",,05-05-2025 16:54:44,05-05-2025 16:57:48,3m - 3.348s,PASSED
"startApplication(""/Users/gv.vignesh/Downloads/app-debug-2.99.81.apk"", true)",,Launch the mobile application with reset to clear any previous data,,05-05-2025 16:54:44,05-05-2025 16:54:52,7.580s,PASSED
delay(10),,Wait for the app to load,,05-05-2025 16:54:52,05-05-2025 16:55:02,10.013s,PASSED
"tap(findTestObject(""Object Repository/Silver/android.widget.Button - Login or Sign Up""), 0)",,Tap on the Login or Sign Up button,,05-05-2025 16:55:02,05-05-2025 16:55:02,0.340s,PASSED
delay(10),,Wait for the login screen to load,,05-05-2025 16:55:02,05-05-2025 16:55:12,10.010s,PASSED
"setText(findTestObject(""Object Repository/Silver/android.widget.EditText""), ""rfrancis@twc.com"", 0)",,Enter the email address in the email input field,,05-05-2025 16:55:12,05-05-2025 16:55:13,0.216s,PASSED
hideKeyboard(),,Hide the keyboard after entering email,,05-05-2025 16:55:13,05-05-2025 16:55:15,2.108s,PASSED
delay(10),,Wait before proceeding to the next screen,,05-05-2025 16:55:15,05-05-2025 16:55:25,10.010s,PASSED
"tap(findTestObject(""Object Repository/Silver/android.widget.Button - Next""), 0)",,Tap on the Next button to proceed to the authentication screen,,05-05-2025 16:55:25,05-05-2025 16:55:25,0.153s,PASSED
delay(40),,Wait for the authentication screen to fully load,,05-05-2025 16:55:25,05-05-2025 16:56:05,40.010s,PASSED
"tap(findTestObject(""Object Repository/Silver/android.widget.Button - Accept All Cookies""), 0)",,Tap on the Accept All Cookies button,,05-05-2025 16:56:05,05-05-2025 16:56:05,0.140s,PASSED
delay(10),,Wait for cookies popup to dismiss,,05-05-2025 16:56:05,05-05-2025 16:56:15,10.009s,PASSED
"setText(findTestObject(""Object Repository/Silver/android.widget.EditText (1)""), ""rfrancis@twc.com"", 0)",,Enter the email address again in the second email input field,,05-05-2025 16:56:15,05-05-2025 16:56:16,0.969s,PASSED
hideKeyboard(),,Hide the keyboard after entering email,,05-05-2025 16:56:16,05-05-2025 16:56:18,1.982s,PASSED
delay(10),,Wait before entering the password,,05-05-2025 16:56:18,05-05-2025 16:56:28,10.011s,PASSED
