Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke Suite,,,,27-05-2025 12:37:31,27-05-2025 13:01:34,24m - 3.249s,FAILED
,,,,,,,
Test Cases/Home Page/C753_LoggeOutState_Verification,,C753-Verify that the mandatory sections of the Home Page are displayed correctly in the logged-out state,,27-05-2025 12:37:31,27-05-2025 12:38:06,35.263s,FAILED
"startApplication(appUrl, true)",,Launch the mobile application from the specified APK file path and clear any previous data,,27-05-2025 12:37:31,27-05-2025 12:37:41,9.419s,PASSED
delay(10),,Wait for 10 seconds to allow the app to load completely,,27-05-2025 12:37:41,27-05-2025 12:37:51,10.019s,PASSED
"tap(findTestObject(""Object Repository/Carousel/android.widget.TextView - Home""), 0)",,Tap on the Home text view element in the application,,27-05-2025 12:37:51,27-05-2025 12:37:51,0.468s,PASSED
delay(15),,Wait for 15 seconds to allow the home screen to load,,27-05-2025 12:37:51,27-05-2025 12:38:06,15.011s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/Carousel/android.widget.TextView""), 0)",,Verify that a text view element exists on the screen,,27-05-2025 12:38:06,27-05-2025 12:38:06,0.239s,FAILED
,,,,,,,
Test Cases/Home Page/C754_HomepageFunctionality,,C754-Verify that the functionality of the Homepage carousel is implemented correctly,,27-05-2025 12:38:06,27-05-2025 12:38:54,47.536s,PASSED
"startApplication(appUrl, true)",,Launch the mobile application from the specified APK file path with data clearing enabled,,27-05-2025 12:38:06,27-05-2025 12:38:10,3.959s,PASSED
delay(10),,Wait for 10 seconds to allow the application to initialize,,27-05-2025 12:38:10,27-05-2025 12:38:20,10.013s,PASSED
"tap(findTestObject(""Object Repository/Carousel/android.widget.TextView - Home""), 0)",,Tap on the Home button/text element in the application,,27-05-2025 12:38:20,27-05-2025 12:38:21,0.298s,PASSED
delay(20),,Wait for 15 seconds for the home screen to load completely,,27-05-2025 12:38:21,27-05-2025 12:38:41,20.011s,PASSED
"tap(findTestObject(""Object Repository/Carousel/android.widget.TextView (1)""), 0)",,Tap on the first text view element in the Carousel section,,27-05-2025 12:38:41,27-05-2025 12:38:41,0.159s,PASSED
delay(10),,Wait for 10 seconds after the tap action,,27-05-2025 12:38:41,27-05-2025 12:38:51,10.011s,PASSED
"assert verifyElementExist(findTestObject(""Object Repository/testing/android.widget.TextView - 50 Welcome Bonus  3 Back in Rewards""), 0)",,Verify that the App Test Image Article text element is present on screen,,27-05-2025 12:38:51,27-05-2025 12:38:52,1.086s,PASSED
closeApplication(),,Close the application after test completion,,27-05-2025 12:38:52,27-05-2025 12:38:54,1.977s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C667_C668_GuestUserMode_TermsAndConditions_PrivacyPolicy,,"C667-Verify that the Term and Conditions in Guest Mode is displayed correctly
C668-Verify that the Privacy Policy in Guest Mode is displayed correctly",,27-05-2025 12:38:54,27-05-2025 12:40:49,1m - 54.993s,PASSED
"startApplication(appUrl, true)",,Launch the application on the physical device,,27-05-2025 12:38:54,27-05-2025 12:39:00,6.081s,PASSED
delay(10),,,,27-05-2025 12:39:00,27-05-2025 12:39:10,10.009s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Tap on the clickable text ""Continue as a Guest""",,27-05-2025 12:39:10,27-05-2025 12:39:10,0.265s,PASSED
delay(10),,Wait for 10 seconds,,27-05-2025 12:39:10,27-05-2025 12:39:20,10.009s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button,,27-05-2025 12:39:20,27-05-2025 12:39:20,0.105s,PASSED
delay(30),,Wait for 30 seconds for the menu to open,,27-05-2025 12:39:20,27-05-2025 12:39:50,30.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Terms and Conditions-Menu""), 0)",,"Tap on the ""Terms and Conditions"" option in the menu",,27-05-2025 12:39:50,27-05-2025 12:39:51,0.107s,PASSED
delay(10),,,,27-05-2025 12:39:51,27-05-2025 12:40:01,10.012s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/Repo/android.view.View-Terms and conditions web""), 30, STOP_ON_FAILURE))",,"Verify if the ""Terms and Conditions"" webview is present",,27-05-2025 12:40:01,27-05-2025 12:40:01,0.114s,PASSED
delay(10),,Wait for 30 seconds,,27-05-2025 12:40:01,27-05-2025 12:40:11,10.009s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.ImageButton-Cancel web""), 0)",,Tap on the cancel button to close the webview,,27-05-2025 12:40:11,27-05-2025 12:40:11,0.148s,PASSED
delay(15),,Wait for 15 seconds,,27-05-2025 12:40:11,27-05-2025 12:40:26,15.012s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Tap on the menu button again to open the menu fly-out,,27-05-2025 12:40:26,27-05-2025 12:40:26,0.119s,PASSED
delay(15),,Wait for 30 seconds for the menu to open,,27-05-2025 12:40:26,27-05-2025 12:40:41,15.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-Menu""), 0)",,"Tap on the ""Privacy Policy"" option in the menu",,27-05-2025 12:40:41,27-05-2025 12:40:41,0.127s,PASSED
"if (waitForElementPresent(findTestObject(""Object Repository/Repo/android.widget.TextView - Privacy Policy-web""), 30, STOP_ON_FAILURE))",,"Verify if the ""Privacy Policy"" webview is present",,27-05-2025 12:40:41,27-05-2025 12:40:47,5.924s,PASSED
closeApplication(),,Close the application successfully,,27-05-2025 12:40:47,27-05-2025 12:40:49,1.822s,PASSED
closeBrowser(),,,,27-05-2025 12:40:49,27-05-2025 12:40:49,0.057s,PASSED
,,,,,,,
Test Cases/Guest User Mode/C738_C666_C719_GuestUserMode_BottomNavBar_SettingsMenu_AppVersion,,"C666-Verify that the Settings in Guest Mode is displayed correctly
C719-Verify that the app version on the Settings menu in Guest Mode is correct
C738-Verify that the bottom navbar is displayed correctly when the user is in Guest state",,27-05-2025 12:40:49,27-05-2025 12:42:07,1m - 18.414s,PASSED
"startApplication(appUrl, true)",,Launch the Westgate mobile application,,27-05-2025 12:40:49,27-05-2025 12:40:55,6.116s,PASSED
delay(10),,Wait for the application to load completely,,27-05-2025 12:40:55,27-05-2025 12:41:05,10.010s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TextView - Continue as a Guest""), 0)",,"Navigate through initial screen by tapping ""Continue as a Guest""",,27-05-2025 12:41:05,27-05-2025 12:41:05,0.260s,PASSED
delay(10),,Wait for guest mode initialization,,27-05-2025 12:41:05,27-05-2025 12:41:15,10.005s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.Button - menu""), 0)",,Open application menu,,27-05-2025 12:41:15,27-05-2025 12:41:15,0.114s,PASSED
delay(20),,Wait for menu to fully expand,,27-05-2025 12:41:15,27-05-2025 12:41:35,20.009s,PASSED
"tap(findTestObject(""Object Repository/Repo/android.widget.TabWidget-Settings""), 0)",,Navigate to version information tab,,27-05-2025 12:41:35,27-05-2025 12:41:36,0.119s,PASSED
delay(10),,Wait for version information to load,,27-05-2025 12:41:36,27-05-2025 12:41:46,10.011s,PASSED
"actualVersionText = getText(findTestObject(""Object Repository/Settings/android.widget.Button - Version 2.99.104""), 0)",,Capture the actual version text,,27-05-2025 12:41:46,27-05-2025 12:41:46,0.087s,PASSED
"expectedVersionText = ""Version 2.99.104""",,Verify application version,,27-05-2025 12:41:46,27-05-2025 12:41:46,0.001s,PASSED
assert actualVersionText == expectedVersionText,,,,27-05-2025 12:41:46,27-05-2025 12:41:46,0.000s,PASSED
